key (EN source),AM translation,first seen at,status
Community and safety rules,የማህበረሰብና የደህንነት ደንቦክ,onboarding/OnboardingFlow.tsx:677,translated
Compassion,ርኅራኄ,components/DiscoveryCard.tsx:18,translated
Complete the required public-profile fields before continuing.,ለመቀጠል የሚያስፈልጉትን የሕዝብ መገለጫ መስኮክ ይሙሉ።,onboarding/OnboardingFlow.tsx:230,translated
"Complete your full name, date of birth, and phone number.","ሙሉ ስምዎን, የልደት ቀንዎና ስልክ ቁጥርዎን ይሙሉ።",onboarding/OnboardingFlow.tsx:226,translated
Confirm,ያረጋግጡ,components/ConnectionsScreen.tsx:148,translated
Confirm all three eligibility requirements to continue.,ለመቀጠል ሦስቱንም የብቃት መሰፈርቶክ ያረጋግጡ።,onboarding/OnboardingFlow.tsx:218,translated
Confirming…,በመረጋግጥ ላይ …,components/PairingScreen.tsx:333,translated
Connecting…,በመገናኛጥ ላይ …,auth/AuthGate.tsx:65,translated
Connection error,የግንኙነት ስህተት,auth/AuthGate.tsx:103,translated
Connections,ግንኙነቶክ,App.tsx:102,translated
Consent,ፈቃድ,onboarding/OnboardingFlow.tsx:56,translated
"Contact details are only shared after mutual interest, administrator approval, and both people's confirmation.","የመገናኛ መረጃዎክ የሚጋሩት በእርስ በእርስ ፍላጎት , አስተዳዳሪው ከጸደቀና ሁለቱም ሰዎክ ከያረጋግጡና በኋላ ብቻ ነው ።",components/PrivacyScreen.tsx:92,translated
"Contact details are revealed only through a separate, future consent step — never in the pilot introduction.",የመገናኛ መረጃዎክ የሚግለጹት በተለያና በወዳፊት በሚኖር የፈቃድ ደረጃ ብቻ ነው — በፓይላት ትውውቅ ውስጥ በፍጹም አይደለም ።,components/IntroductionScreen.tsx:180,translated
Continue,ይቀጥሉ,onboarding/OnboardingFlow.tsx:456,translated
Continue to welcome,ወደ እንኳን ደህና መጡ ይቀጥሉ,onboarding/IntroScreens.tsx:56,translated
Could not load your draft,ርቂቅዎን መቻን አልተቻለም,onboarding/OnboardingFlow.tsx:386,translated
Could not reach the service. Please try again.,አገልግሎቱን ማግኝት አልተቻለም ። እባክዎ እንደገና ይሞክሩ ።,components/PrivacyScreen.tsx:40,translated
Could not reload the latest draft. Try again.,የቅርብ ጊዜዎን ርቂቅ እንደገና መቻን አልተቻለም ። እንደገና ይሞክሩ ።,onboarding/OnboardingFlow.tsx:484,translated
Could not send. Try again.,መላክ አልተቻለም ። እንደገና ይሞክሩ ።,components/FeedbackScreen.tsx:49,translated
Couldn’t send the request just now.,ጥያቄውን አልተላከም ።,components/DiscoverScreen.tsx:129,translated
Daily limit reached — you can send more requests tomorrow.,የቀን ገደብ ደርሷል — ነገ ተጨማሪ ጥያቄዎክ መላክ ይችላሉ ።,components/DiscoverScreen.tsx:125,translated
"Data export and deletion become available when submissions are enabled. During this prototype, no personal data leaves your device.",ማስገቢያዎክ ሲነቁ የመረጃ ማውጣትና ማጥፋት ይገኛሉ ። በዚህ ናሙና ወቅት ምንም የግል መረጃ ከመሳሪያዎ አይወጣም ።,components/PrivacyScreen.tsx:113,translated
Deacon,ዲቁን,components/RequestsScreen.tsx:131,translated
Debre Birhan,ደብር ብርሀን,onboarding/options.ts:32,translated
Decline,ይመልሱ,components/RequestsScreen.tsx:155,translated
Decline introduction,ትውውቅዎን መመለስ,components/ConnectionsScreen.tsx:155,translated
Decline request quietly,ጥያቄውን በዝግታ ይመልሱ,components/RequestsScreen.tsx:153,translated
Declined,ተመልሷል,components/ConnectionsScreen.tsx:29,translated
Declining is silent — they simply won’t hear back. Accepting lets both of you confirm before an administrator reviews.,መመለስ ዝምታ ነው — እሳቸው ምላሽ አይሰማም ። መቀበል ግን አስተዳዳሪ ግምገማ ከማደረጉ በፊት ሁለታክሁም እንድታረጋግጡ ያደርጋል ።,components/RequestsScreen.tsx:159,translated
Delete my account,መለያይን አጥፋ,components/PrivacyScreen.tsx:106,translated
"Delete your Kidan account and all your data? This permanently removes your profile, identity details, verification photo, and review history. This cannot be undone.","የKidan መለያዎና መረጃዎን ሁሉ ማጥፋት ይፈልጋሉ ? ይህ መገለጫዎን , የማንነት መረጃዎን , የማረጋግጫ ፎቶና የግምገማ ታሪክ በኳሚነት ያጥፋል ። ይህ ሊቀለበስ አይችልም ።",components/PrivacyScreen.tsx:50,translated
Deleting…,በማጥፋት ላይ …,components/PrivacyScreen.tsx:106,translated
Deletion failed. Please try again.,ማጥፋቱ አልተሣካም ። እባክዎ እንደገና ይሞክሩ ።,components/PrivacyScreen.tsx:64,translated
Demo,ናሙና,onboarding/OnboardingFlow.tsx:449,translated
"Demo preview — synthetic, local-only. No data is sent or saved.","የናሙና ቅድመ-እይታ — መረጃ ሰው ሰራሽና በአካባቢ ብቻ ነው ። ምንም አይላከም , አይቀምጥም ።",auth/AuthStatusBar.tsx:24,translated
Describe the life you hope to build.,ሊገነቡት የሚፈልጉትን ሕይወት ይግለጹ።,onboarding/OnboardingFlow.tsx:595,translated
Diploma,ዲፕሎማ,onboarding/OnboardingFlow.tsx:579,translated
Dire Dawa,ድሬ ደዋ,onboarding/options.ts:33,translated
Discover,ፍለጋ,App.tsx:99,translated
Discovery is values-only.,ፍለጋ በእሴት ብቻ ነው ።,onboarding/OnboardingFlow.tsx:505,translated
"Discovery is values-only. Your name, phone, and date of birth are encrypted and visible only to an administrator verifying your identity.","ፍለጋ በእሴት ብቻ ነው ። ስምዎ , ስልክዎና የልደት ቀንዎ ተመስጠርው ማንነትዎን ለሚያረጋግጥ አስተዳዳሪ ብቻ ይታያሉ ።",components/PrivacyScreen.tsx:90,translated
Discovery preferences,የፍለጋ ምርጫዎክ,components/DiscoverScreen.tsx:158,translated
"Do not include phone numbers, usernames, or links in partner preferences.","በአጋር ምርጫዎክ ውስጥ ስልክ ቁጥሮክን , የተጠቃሚ ስመዎክን ወይም መገናኛዎክን አይጨምሩ ።",onboarding/OnboardingFlow.tsx:241,translated
Doctorate,ዶክትርት,onboarding/OnboardingFlow.tsx:579,translated
Does not plan to have children,ልጆክ ለመውለድ አያቅድም,onboarding/OnboardingFlow.tsx:637,translated
Download my data,መረጃይን አውርድ,components/PrivacyScreen.tsx:102,translated
Draft saved,ርቂቅ ተቀምግቷል,onboarding/OnboardingFlow.tsx:421,translated
Education,ትምህርት,components/ProfileSheet.tsx:52,translated
Eligibility,ብቃት,onboarding/OnboardingFlow.tsx:509,translated
Eligibility and safety checks.,የብቃትና የደህንነት ማጣሪያዎክ ።,components/ConnectionsScreen.tsx:183,translated
Employed,ሠራተኛ,onboarding/OnboardingFlow.tsx:584,translated
Employment,ሥራ,onboarding/PublicPreview.tsx:54,translated
Encrypting & uploading…,በመመስጠርና በመጫን ላይ …,onboarding/OnboardingFlow.tsx:557,translated
English or Amharic — saved on this device.,እንግሊዝኛ ወይም እማርኛ — በዚህ መሳሪያ ላይ ይቀመጠል።,components/MyProfileScreen.tsx:67,translated
Enter the demo app,ወደ ናሙና መተግብሪያው ይግቡ,onboarding/OnboardingFlow.tsx:456,translated
Ethiopia,ኢትዮጵያ,components/ConnectionsScreen.tsx:203,translated
Ethiopian Orthodox Tewahedo,ኢትዮጵያ ኦርቶዶክስ ተዋሕዶ,onboarding/OnboardingFlow.tsx:596,translated
Every profile is privately reviewed.,እያንዳንዱ መገለጫ በግል ይገመግማል ።,onboarding/OnboardingFlow.tsx:504,translated
Everything on this page may appear in discovery.,በዚህ ገጽ ላይ ያለ ነገር ሁሉ በፍለጋ ሊታይ ይችላል ።,onboarding/OnboardingFlow.tsx:571,translated
Exit,ይውጡ,onboarding/OnboardingFlow.tsx:695,translated
Exit onboarding,ከመዝጋት ይውጡ,onboarding/IntroScreens.tsx:40,translated
Explore demo,ናሙናዎን ያስሱ,onboarding/OnboardingFlow.tsx:695,translated
Express interest privately,ፍላጎትዎን በስውር ይግለጹ,components/DiscoveryCard.tsx:123,translated
Faith & family,እምነትና ቤተሰብ,onboarding/OnboardingFlow.tsx:53,translated
Faith & intention,እምነትና ዓላማ,components/ProfileSheet.tsx:60,translated
Faith-data processing,የእምነት መረጃ አያያዝ,onboarding/OnboardingFlow.tsx:674,translated
Family status,የቤተሰብ ሁኔታ,onboarding/PublicPreview.tsx:55,translated
Family-oriented,ቤተሰብ - ትኮር,components/DiscoveryCard.tsx:19,translated
Feedback & help,አስተያይትና እርዳታ,components/FeedbackScreen.tsx:62,translated
Female,ሴት,components/DiscoverScreen.tsx:209,translated
Fill sample,ናሙና ይሙሉ,onboarding/OnboardingFlow.tsx:523,translated
Final confirmation,የመጨረሻ ማረጋግጫ,components/ConnectionsScreen.tsx:184,translated
Founding cohort,መስራች ቡድን,onboarding/IntroScreens.tsx:98,translated
"Full name, phone, date of birth, Telegram identity, and verification photo.","ሙሉ ስም , ስልክ , የልደት ቀን , የTelegram ማንነትና የማረጋግጫ ፎቶ ።",onboarding/PublicPreview.tsx:68,translated
Future children,የወዳፊት ልጆክ,onboarding/PublicPreview.tsx:57,translated
Gender,ጾታ,onboarding/PublicPreview.tsx:52,translated
Generic bot notifications,አጠቃላይ የቦት ማሳወቂያዎክ,onboarding/OnboardingFlow.tsx:680,translated
Getting to know each other,እርስ በእርስ መተዋወቅ,components/PairingScreen.tsx:454,translated
Godfather,የምንፈሳዊ አበት,components/RequestsScreen.tsx:130,translated
Has children,ልጆክ አሉት,onboarding/PublicPreview.tsx:55,translated
Hawassa,ሐዋሳ,onboarding/options.ts:34,translated
Height,ቁመት,components/ProfileSheet.tsx:54,translated
Honesty,ቅንነት,components/DiscoveryCard.tsx:20,translated
How Kidan handles your data,Kidan መረጃዎን እንድት ይይዛል,components/PrivacyScreen.tsx:88,translated
How a connection opens,ግንኙነት እንድት ይከፈታል,components/ConnectionsScreen.tsx:180,translated
I am Ethiopian Orthodox Tewahedo,ኢትዮጵያ ኦርቶዶክስ ተዋሕዶ ነኝ,onboarding/OnboardingFlow.tsx:511,translated
I am aged 21–45,ዕድምይ 21-45 ነው,onboarding/OnboardingFlow.tsx:510,translated
I am seeking an intentional marriage,በአላማ የተቃደ ጋብቻ እፈልጋለሁ,onboarding/OnboardingFlow.tsx:512,translated
I'm ready to meet them,ለመገናኛጥ ዝግጁ ነኝ,components/PairingScreen.tsx:333,translated
INTERESTED,ፍላጎት,components/DiscoveryCard.tsx:78,translated
Identities revealed,ማንነትዎክ ተግለጹ,components/PairingScreen.tsx:299,translated
Identity privately verified,በስውር የተረጋገጠ ማንነት,components/ProfileSheet.tsx:47,translated
Identity verified privately,በስውር የተረጋገጠ ማንነት,components/MyProfileScreen.tsx:45,translated
In private review,በግል ግምገማ ላይ,components/RealHomeGate.tsx:129,translated
In their words,በእሳቸው ቃላት,components/ProfileSheet.tsx:73,translated
"In this preview you can sign in and save your public profile sections. Private identity, verification, submission, administrator review, discovery, and connections are not enabled yet.","በዚህ ቅድመ-እይታ መግባትና የሕዝብ መገለጫ ክፍሎክዎን ማስቀምጥ ይችላሉ። የግል ማንነት, ማረጋግጫ, ማስገቢያ, የአስተዳዳሪ ግምገማ, ፍለጋና ግንኙነቶክ ገና አልነቁም።",PilotDisabledScreen.tsx:16,translated
"In this preview, only your public profile sections are saved. Submission, identity verification, and administrator review are not enabled.","በዚህ ቅድመ-እይታ የሕዝብ መገለጫ ክፍሎክዎ ብቻ ነው የሚቀመጡት ። ማስገባት , የማንነት ማረጋገጥና የአስተዳዳሪ ግምገማ አልነቁም ።",onboarding/OnboardingFlow.tsx:435,translated
Incoming requests,ገቢ ጥያቄዎክ,components/RequestsScreen.tsx:111,translated
Intentional,በአላማ,onboarding/OnboardingFlow.tsx:506,translated
"Intentional, not endless","በአላማ , ለዘለለም አይደለም",components/RequestsScreen.tsx:95,translated
"Interest stays private. No message or identity is shared unless interest is mutual, an admin approves, and both people confirm.","ፍላጎት በስውር ይቆያል ። ምንም መልእክት ወይም ማንነት የሚጋራው ፍላጎቱ በሁለቱም በኩል ሲሆን , አስተዳዳሪው ሲጸድቅና ሁለቱም ሰዎክ ሲያረጋግጡ ብቻ ነው ።",components/ProfileSheet.tsx:77,translated
Introduction,ትውውቅ,components/IntroductionScreen.tsx:116,translated
Introduction accepted — confirm with them next.,ትውውቅ ተቀብለዋል — ቀጥሎ ከእሳቸው ጋር ያረጋግጡ ።,components/RequestsScreen.tsx:70,translated
Introduction open,ትውውቅ ክፍት,components/ConnectionsScreen.tsx:25,translated
Introduction request sent — you’ll see it if they accept.,የትውውቅ ጥያቄ ተልክሏል — ቢቀበሉት ያዩታል ።,components/DiscoverScreen.tsx:119,translated
Introductions,ትውውቆክ,components/ConnectionsScreen.tsx:100,translated
"Introductions stay in-app for now. Phone numbers, Telegram handles, and links can't be shared here.","ትውውቆክ ለአሁን በመተግብሪያው ውስጥ ይቆያሉ ። ስልክ ቁጥሮክን , የTelegram መለያዎክንና መገናኛዎክን እዚህ ማጋራት አይቻልም ።",components/IntroductionScreen.tsx:80,translated
I’m interested,ፍላጎት አለኝ,components/ProfileSheet.tsx:79,translated
Keep getting to know each other,እርስ በእርስ መተዋወቅ ይቀጥሉ,components/PairingScreen.tsx:38,translated
Keep on shortlist,በዝርዝሩ ይቆይ,components/DiscoverScreen.tsx:226,translated
Kidan,Kidan,auth/AuthGate.tsx:32,translated
Kidan is temporarily unavailable,Kidan ለጊዜዎ አይገኝም,auth/AuthGate.tsx:93,translated
Kidan will check in with you once more around {date}.,Kidan በ{date} አካባቢ እንደገና ይጠይቅዎታል ።,components/PairingScreen.tsx:379,translated
Kidan will check in with you once more in a few days.,Kidan በጥቂት ቀናት እንደገና ይጠይቅዎታል ።,components/PairingScreen.tsx:380,translated
"Kidan will never place a name, phone number, or profile detail in a bot notification.","Kidan ስም , ስልክ ቁጥር ወይም የመገለጫ ዝርዝርን በቦት ማሳወቂያ ውስጥ በፍጹም አይስገባም ።",components/ConnectionsScreen.tsx:189,translated
Kidan will quietly step back. May your path be blessed.,Kidan በዝምታ ይለቃል ። መንገድዎ የተባረከ ይሁን ።,components/PairingScreen.tsx:393,translated
Kidane Mihret,ኪዳኔ ምህረት,components/PairingScreen.tsx:391,translated
Know exactly what others can see.,ልሎክ ምን ማያት እንደሚችሉ በትክክል ይወቁ ።,onboarding/OnboardingFlow.tsx:662,translated
Language,ኳንኳ,components/MyProfileScreen.tsx:67,translated
Limited preview,የተገደበ ቅድመ-እይታ,PilotDisabledScreen.tsx:14,translated
Loading,እይተጫን…,components/ConnectionsScreen.tsx:112,translated
Loading connections,ግንኙነቶክን በመጫን ላይ,components/ConnectionsScreen.tsx:110,translated
Loading journey,ጉዞውን በመጫን ላይ,components/PairingScreen.tsx:207,translated
Loading requests,ጥያቔዎክን በመጫን ላይ,components/RequestsScreen.tsx:105,translated
Loading today’s introductions…,የዛሬ ትውውቆክን በመጫን ላይ…,components/DiscoverScreen.tsx:168,translated
Loading your draft…,ሬቂቅዎን በመጫን ላይ…,onboarding/OnboardingFlow.tsx:386,translated
Loading your introduction…,ትውውቅዎን በመጫን ላይ…,components/IntroductionScreen.tsx:145,translated
Male,ወንድ,components/DiscoverScreen.tsx:209,translated
Man,ወንድ,onboarding/PublicPreview.tsx:52,translated
Marriage goal,የጋብቻ ዓላማ,components/RequestsScreen.tsx:127,translated
Master’s degree,የሁለተኛ ዲግሪ,onboarding/OnboardingFlow.tsx:579,translated
Message,መልእክት,components/FeedbackScreen.tsx:102,translated
Message type,የመልእክት አይነት,components/FeedbackScreen.tsx:78,translated
Mutual growth,የጋራ እድገት,components/DiscoveryCard.tsx:21,translated
Mutual interest,የጋራ ፍላጎት,components/ConnectionsScreen.tsx:182,translated
Name and contact remain hidden.,ስምና የመገናኛ መረጃ ተደብቀው ይቆያሉ ።,components/ProfileSheet.tsx:47,translated
"Names and contact details were revealed together. Open to view — deliberately, when you choose.","ስመዎክና የመገናኛ መረጃዎክ አብርው ተግለጹ ። ለማያት ይክፈጡ — በአላማ , በመረጡት ጊዜ ።",components/PairingScreen.tsx:435,translated
Never shown in discovery,በፍለጋ በፍጹም አይታይም,onboarding/PublicPreview.tsx:68,translated
Next step,ቀጣዩ ደረጃ,components/PairingScreen.tsx:203,translated
No,አይደለም,components/RequestsScreen.tsx:130,translated
No ads or sale.,ምንም ማስታዋቂያ ወይም ሽያጭ የለም ።,components/PrivacyScreen.tsx:93,translated
"No ads, no social links, no profile selling, and no AI training on your personal information.","ምንም ማስታዋቂያ , ማህበራዊ መገናኛዎክ , የመገለጫ ሽያጭ ወይም በየግል መረጃዎ ላይ የAI ስልጠና የለም ።",components/MyProfileScreen.tsx:73,translated
No children,ልጆክ የሉም,onboarding/PublicPreview.tsx:55,translated
No contact before every approval.,ሁሉም ፈቃድ እስኪይጠናቀቅ ምንም ግንኙነት የለም ።,onboarding/OnboardingFlow.tsx:506,translated
No identity or contact information has been shared.,ምንም ማንነት ወይም የመገናኛ መረጃ አልተጋራም ።,components/ConnectionsScreen.tsx:173,translated
No information was uploaded or saved. This prototype used in-memory draft data only.,ምንም መረጃ አልተጫነም ወይም አልተቀመጠም ። ይህ ናሙና በማህደር-ትውስታ ውስጥ ያለ ርቂቅ መረጃ ብቻ ተጠቅሟል ።,onboarding/OnboardingFlow.tsx:432,translated
No introductions yet,እስካሁን ትውውቆክ የሉም,components/ConnectionsScreen.tsx:116,translated
"No messages yet. Send a brief, values-centered greeting to begin.","እስካሁን መልእክትዎክ የሉም ። ለመጀመር አጭር , በእሴት ላይ ያተኮረ ሰላምታ ይላኩ ።",components/IntroductionScreen.tsx:147,translated
"No names, phone numbers, Telegram accounts, or photos appear in discovery.","ስመዎክ , ስልክ ቁጥሮክ , የTelegram መለያዎክ ወይም ፎቶዎክ በፍለጋ አይታዩም ።",onboarding/OnboardingFlow.tsx:501,translated
"No pending requests. When someone sends you an introduction, their values-only summary appears here — never their name, photo, or contact details.","በመጠባበቅ ላይ ያሉ ጥያቄዎክ የሉም ። አንድ ሰው ትውውቅ ሲልክልዎ , በእሴት የተዘጋጀ ማጠቃላያቼው እዚህ ይታያል — ስማቸው , ፎቶአቸው ወይም የመገናኛ መረጃቸው ግን በፍጹም አይታይም ።",components/RequestsScreen.tsx:114,translated
Not available,አይገኝም,components/PairingScreen.tsx:216,translated
Not completed,አልተጠናቀቀም,onboarding/PublicPreview.tsx:54,translated
Not just yet — the bot will ask again soon.,አሁን አይደለም — ቦቱ በቅርቡ እንደገና ይጠይቃል ።,components/PairingScreen.tsx:124,translated
Not shared,አልተጋራም,onboarding/PublicPreview.tsx:56,translated
Not working,አይሰራም,onboarding/OnboardingFlow.tsx:584,translated
